EmployeeNumber,set,Attrition,Department,JobRole,OverTime,MonthlyIncome,Age,YearsAtCompany,JobSatisfaction,risk_score,risk_decile,top_shap_driver
1,train,Yes,Sales,Sales Executive,Yes,5993,41,6,4,0.5262,9,OverTime
2,train,No,Research & Development,Research Scientist,No,5130,49,10,2,0.337,2,StockOptionLevel
4,test,Yes,Research & Development,Laboratory Technician,Yes,2090,37,0,3,0.6153,10,OverTime
5,train,No,Research & Development,Research Scientist,Yes,2909,33,8,3,0.5997,10,OverTime
7,train,No,Research & Development,Laboratory Technician,No,3468,27,2,2,0.5192,9,OverTime
8,test,No,Research & Development,Laboratory Technician,No,3068,32,7,4,0.5216,9,Age
10,test,No,Research & Development,Laboratory Technician,Yes,2670,59,1,1,0.4674,8,Age
11,train,No,Research & Development,Laboratory Technician,No,2693,30,1,3,0.4826,8,OverTime
12,test,No,Research & Development,Manufacturing Director,No,9526,38,9,3,0.3908,5,Age
13,train,No,Research & Development,Healthcare Representative,No,5237,36,7,3,0.3248,1,Age
14,test,No,Research & Development,Laboratory Technician,No,2426,35,5,2,0.3637,4,OverTime
15,train,No,Research & Development,Laboratory Technician,Yes,4193,29,9,3,0.4458,7,StockOptionLevel
16,train,No,Research & Development,Research Scientist,No,2911,31,5,3,0.3832,5,OverTime
18,test,No,Research & Development,Laboratory Technician,No,2661,34,2,4,0.3629,4,OverTime
19,train,Yes,Research & Development,Laboratory Technician,Yes,2028,28,4,3,0.6916,10,MonthlyIncome
20,train,No,Research & Development,Manufacturing Director,No,9980,29,10,1,0.3846,5,StockOptionLevel
21,train,No,Research & Development,Research Scientist,Yes,3298,32,6,2,0.5095,8,OverTime
22,test,No,Research & Development,Laboratory Technician,Yes,2935,22,1,4,0.6103,10,JobLevel
23,train,No,Sales,Manager,No,15427,53,25,4,0.4002,6,StockOptionLevel
24,train,No,Research & Development,Research Scientist,Yes,3944,38,3,4,0.4347,7,Age
26,train,No,Research & Development,Manufacturing Director,No,4011,24,4,3,0.3343,2,StockOptionLevel
27,test,Yes,Sales,Sales Representative,No,3407,36,5,1,0.381,5,Age
28,train,No,Research & Development,Research Director,No,11994,34,12,2,0.3596,3,OverTime
30,train,No,Research & Development,Research Scientist,No,1232,21,0,4,0.5949,10,MonthlyIncome
31,train,Yes,Research & Development,Research Scientist,No,2960,34,4,1,0.3703,4,Age
32,train,No,Research & Development,Manager,No,19094,53,14,3,0.3402,2,MonthlyIncome
33,train,Yes,Research & Development,Research Scientist,Yes,3919,32,10,1,0.6217,10,StockOptionLevel
35,train,No,Sales,Sales Executive,No,6825,42,9,2,0.3537,3,Age
36,train,No,Research & Development,Healthcare Representative,No,10248,44,22,4,0.3854,5,EnvironmentSatisfaction
38,train,No,Sales,Manager,No,18947,46,2,1,0.361,4,Age
39,train,No,Research & Development,Laboratory Technician,No,2496,33,1,4,0.542,9,JobLevel
40,train,No,Research & Development,Healthcare Representative,Yes,6465,44,4,4,0.4005,6,Age
41,train,No,Research & Development,Laboratory Technician,No,2206,30,10,3,0.5214,9,MonthlyIncome
42,train,Yes,Sales,Sales Representative,No,2086,39,1,4,0.3777,4,YearsWithCurrManager
45,train,Yes,Research & Development,Research Scientist,Yes,2293,24,2,4,0.6764,10,MonthlyIncome
46,test,No,Research & Development,Research Scientist,No,2645,43,5,3,0.3155,1,Age
47,train,Yes,Sales,Sales Representative,Yes,2683,50,3,3,0.607,10,OverTime
49,test,No,Sales,Sales Representative,No,2014,35,2,4,0.3619,4,OverTime
51,train,No,Research & Development,Research Scientist,Yes,3419,36,1,1,0.5893,10,OverTime
52,test,No,Sales,Sales Executive,No,5376,33,5,1,0.3314,2,StockOptionLevel
