term,odds_ratio,ci_low,ci_high,p_value
JobRoleHuman Resources,2732188.5998969167,6998972143156325e157,21991636561135606e114,0.9824613422274224
DepartmentResearch & Development,1002755.4196394143,35545349203137428e155,7295450005770681e114,0.9836473469439415
DepartmentSales,379834.4091768415,4121550997955946e141,501336607717698e114,0.9847960338135929
JobRoleSales Representative,18.58491618868054,1.3474680629919982,518.2005318929637,0.039766034881246526
JobRoleSales Executive,6.940780609117852,0.5653715418711892,179.94944803213966,0.15599292816544383
BusinessTravelTravel_Frequently,6.169167818491716,2.578656529072865,16.277413406403923,9.788371197086353e-5
OverTimeYes,5.862377326515515,3.8647408536155727,9.014679885300522,2.426182744405352e-16
JobRoleLaboratory Technician,5.016650106740256,1.8183725383271723,15.427476740095072,0.002892490633938477
EducationFieldOther,0.25811002851096404,0.022007899404222805,2.3279674661759158,0.24419256724452507
EducationFieldMedical,0.38984772660931094,0.039421926130860194,2.9618708238430895,0.3786396187456458
BusinessTravelTravel_Rarely,2.4974649354077516,1.1272173152631726,6.162342285309842,0.033370660353128814
MaritalStatusSingle,2.3417042983831964,1.1000278753389197,5.101064959094081,0.029349792047598345
EducationFieldLife Sciences,0.4541633060512962,0.04629389312121374,3.420333661342364,0.4587214136226097
JobInvolvement,0.5671151987737372,0.431539630723373,0.742133088795345,4.003715827167265e-5
WorkLifeBalance,0.5913059504532377,0.4486555576228663,0.7767656341734198,1.7100955331091178e-4
JobRoleResearch Scientist,1.6838149652999603,0.585636995850772,5.301936496472485,0.350126784456186
JobRoleManager,1.6454607639826908,0.23255132533354753,10.148317893704002,0.599303041525984
JobRoleResearch Director,0.6103607681633668,0.06770148993195846,4.012264674290719,0.6242420264553966
EnvironmentSatisfaction,0.6395732515810255,0.5310851701085534,0.7669869298417579,1.806371349129192e-6
JobSatisfaction,0.6580034903655732,0.5492233418664934,0.7851782138861558,4.272954303692679e-6
GenderMale,1.4433795699112568,0.966242090159844,2.1736920529333292,0.07553820163299398
EducationFieldMarketing,0.7468442852399017,0.07037974020143967,6.215613979943591,0.7932907933715884
StockOptionLevel,0.7568874280199749,0.5296086914755479,1.0684008892091024,0.11899833117466052
JobLevel,1.2479185458199409,0.6221012924315577,2.5043599240540293,0.5322307040341259
RelationshipSatisfaction,0.8073735517385637,0.67244938416751,0.967873462204577,0.021068465206483446
NumCompaniesWorked,1.2308158002088854,1.1291973280878347,1.3422872523085696,2.3725338072068155e-6
YearsSinceLastPromotion,1.2067486051500869,1.1013800127373836,1.3256232402857158,6.805071849848535e-5
TrainingTimesLastYear,0.8340741268815829,0.7076758047585129,0.9791708369167386,0.028244371783949472
MaritalStatusMarried,1.177831232640022,0.6636321644454533,2.1333392339795916,0.5815814228784748
EducationFieldTechnical Degree,1.1300105582088436,0.11312021663273997,8.799331365039768,0.9097701081148107
YearsInCurrentRole,0.8897620376147957,0.8037466008327158,0.9838425244444832,0.02312380713574648
YearsWithCurrManager,0.8976008181715182,0.8119274899954887,0.9934011133933883,0.0354064687585407
TotalWorkingYears,0.9218847632481059,0.8614004450727855,0.9835077404004358,0.015944422048860697
Education,0.9342844762674835,0.7694259036844899,1.135692583597062,0.49309444999562146
YearsAtCompany,1.059661568493234,0.9691415118044185,1.1575543434825144,0.19929053879228653
PerformanceRating,1.0444314883940176,0.4397712613782208,2.4776810207799413,0.9213125235467522
DistanceFromHome,1.0377919015592407,1.0132957915784082,1.062799066563744,0.00225595357458335
Age,0.9719451886652006,0.9422068045679797,1.001579354867318,0.06743614855426316
MonthlyIncome,0.9780141903692454,0.8163094360613112,1.170356596935417,0.8085646881094684
PercentSalaryHike,0.991523222667747,0.9106751639019174,1.0782084676452381,0.8430940623287779
JobRoleManufacturing Director,0.9982479321021167,0.2920613041062541,3.4270251502973084,0.9977410645276218
HourlyRate,0.9985977832361801,0.9889005945774108,1.0083965146040985,0.7778083636635568
DailyRate,0.999816201597562,0.9993365288818661,1.0002942692535854,0.45124757398495813
MonthlyRate,1.0000024924109132,0.9999746815391262,1.0000303269391724,0.8604177383555712
