EmployeeNumber,logreg_score
1,0.7493
2,0.027
4,0.5109
5,0.1003
7,0.4582
8,0.0891
10,0.1263
11,0.1142
12,0.052
13,0.0346
14,0.0381
15,0.2006
16,0.2318
18,0.0534
19,0.8526
20,0.0302
21,0.0623
22,0.099
23,0.0021
24,0.1486
26,0.0024
27,0.5032
28,0.0088
30,0.0452
31,0.1379
32,0.001
33,0.8981
35,0.0413
36,0.0027
38,0.0459
39,0.0711
40,0.0041
41,0.11
42,0.013
45,0.3475
46,0.0014
47,0.6994
49,0.0671
51,0.4321
52,0.0398
53,0.0235
54,0.0282
55,0.8635
56,0.0659
57,0.0506
58,0.0466
60,0.1499
61,0.2263
62,0.3129
63,0.0213
64,0.7842
65,0.8038
68,0.4258
70,0.1195
72,0.7622
73,0.097
74,0.1159
75,0.5275
76,0.0113
77,0.0064
78,0.0757
79,0.2744
80,0.3439
81,0.1441
83,0.012
84,0.007
85,0.1449
86,0.0141
88,0.2245
90,0.3398
91,0.2619
94,0.0069
95,0.0669
96,0.0105
97,0.0556
98,0.0039
100,0.0661
101,0.0191
102,0.0244
103,0.23
104,0.2969
105,0.0618
106,0.0085
107,0.0111
110,0.0425
112,0.0065
113,0.4644
116,0.0077
117,0.0117
118,0.0291
119,0.1207
120,0.398
121,0.0736
124,0.2391
125,0.1175
126,0.0551
128,0.0687
129,0.0111
131,0.0062
132,0.0296
133,0.4327
134,0.0841
137,0.6797
138,0.0055
139,0.0019
140,0
141,0.0984
142,0.5828
143,0.0208
144,0.1393
145,0.3026
147,0.7973
148,0
150,0.1285
151,0.0466
152,0.0401
153,0.0203
154,0.0225
155,0.1341
158,0.0066
159,0.0986
160,0.0125
161,0.3834
162,0.0288
163,0.7596
164,0.06
165,0.0067
167,0.9055
169,0.1454
170,0.0089
171,0.0511
174,0.0872
175,0.7172
176,0.062
177,0.0244
178,0.0439
179,0.0701
182,0.0063
183,0.311
184,0.2486
190,0.3965
192,0.0807
193,0.1714
194,0.0971
195,0.0062
197,0.0624
198,0.1037
199,0.1595
200,0.0869
201,0.2446
202,0.0251
204,0.0177
205,0.4811
206,0.0819
207,0.1048
208,0.0034
211,0.0207
214,0.2701
215,0.0548
216,0.2311
217,0.0187
218,0.0545
221,0.0595
223,0.0713
224,0.0857
226,0.0206
227,0.0241
228,0.0308
230,0.0384
231,0.0623
233,0.425
235,0.8524
238,0.4469
239,0.0155
240,0.1136
241,0.0431
242,0.0222
243,0.5124
244,0.0666
245,0.0775
246,0.2313
247,0.0363
248,0.736
249,0.0571
250,0.0027
252,0.0025
253,0.0094
254,8e-4
256,0.0139
258,0.0024
